epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.693,1.99033,1.48884,1.24214,0.77906,0.6991,0.77742,0.33474,1.85751,1.01707,1.15724,0.0701345,0.00331839,0.00331839
2,172.54,1.87809,0.99007,1.15542,0.80331,0.74149,0.76475,0.30219,1.82862,1.02608,1.1217,0.0401016,0.00661879,0.00661879
3,259.074,1.88166,0.96742,1.14363,0.82624,0.73027,0.78178,0.32503,1.83253,0.88273,1.10265,0.0100357,0.0098862,0.0098862
4,396.539,1.84164,0.93757,1.12543,0.85109,0.7668,0.8448,0.38354,1.74635,0.91062,1.07964,0.0098515,0.0098515,0.0098515
5,490.734,1.8088,0.88913,1.10077,0.83985,0.77436,0.84222,0.36342,1.80783,0.83912,1.08268,0.009802,0.009802,0.009802
6,580.42,1.78261,0.8624,1.09189,0.85896,0.78257,0.86022,0.38662,1.75997,0.80774,1.07345,0.0097525,0.0097525,0.0097525
7,670.59,1.76149,0.84469,1.08456,0.85633,0.79041,0.86469,0.40236,1.70976,0.78318,1.05588,0.009703,0.009703,0.009703
8,759.096,1.73834,0.82322,1.07123,0.86944,0.81354,0.88213,0.40771,1.72955,0.76669,1.05762,0.0096535,0.0096535,0.0096535
9,843.986,1.70654,0.80265,1.06759,0.88317,0.82647,0.89227,0.4284,1.66708,0.73836,1.04019,0.009604,0.009604,0.009604
10,929.324,1.69537,0.79015,1.06354,0.87842,0.81856,0.88455,0.40985,1.70401,0.7583,1.04933,0.0095545,0.0095545,0.0095545
11,1018.1,1.69582,0.7858,1.05541,0.8792,0.81731,0.88787,0.42344,1.71275,0.7462,1.05047,0.009505,0.009505,0.009505
12,1153.21,1.6782,0.77782,1.0574,0.87991,0.82798,0.89547,0.42735,1.6807,0.72227,1.04147,0.0094555,0.0094555,0.0094555
13,1236.77,1.67073,0.77206,1.04928,0.89078,0.82194,0.89876,0.4407,1.64539,0.72359,1.03146,0.009406,0.009406,0.009406
14,1320.35,1.66359,0.76109,1.04927,0.88899,0.83724,0.90284,0.43968,1.64841,0.72008,1.03566,0.0093565,0.0093565,0.0093565
15,1405.73,1.6693,0.76169,1.04664,0.88781,0.83753,0.90696,0.44326,1.64266,0.71419,1.03384,0.009307,0.009307,0.009307
16,1495.28,1.65305,0.75234,1.0447,0.89712,0.82591,0.89875,0.4376,1.65424,0.7104,1.03448,0.0092575,0.0092575,0.0092575
17,1578.05,1.65651,0.7486,1.04054,0.89333,0.83374,0.89914,0.43005,1.69032,0.70886,1.03824,0.009208,0.009208,0.009208
18,1660.59,1.64123,0.74325,1.03754,0.88352,0.84583,0.90673,0.44359,1.65074,0.70653,1.03565,0.0091585,0.0091585,0.0091585
19,1743.68,1.63582,0.73856,1.03568,0.89144,0.85159,0.9139,0.44572,1.66602,0.70589,1.03668,0.009109,0.009109,0.009109
20,1826.58,1.63651,0.73635,1.03688,0.89377,0.8513,0.91157,0.4436,1.67868,0.70007,1.04465,0.0090595,0.0090595,0.0090595
21,1908.88,1.6338,0.73506,1.0377,0.89769,0.85074,0.91038,0.44222,1.64937,0.69739,1.0323,0.00901,0.00901,0.00901
22,1991.31,1.63146,0.73032,1.03378,0.89541,0.84488,0.91072,0.44465,1.65715,0.70174,1.03219,0.0089605,0.0089605,0.0089605
23,2073.92,1.616,0.72344,1.03227,0.89754,0.84743,0.90876,0.45269,1.64027,0.68311,1.02949,0.008911,0.008911,0.008911
24,2156.6,1.61929,0.72329,1.03162,0.89994,0.84662,0.90884,0.44391,1.66115,0.69338,1.03591,0.0088615,0.0088615,0.0088615
25,2238.71,1.61662,0.72189,1.02772,0.91016,0.85031,0.91676,0.45078,1.62671,0.68831,1.02478,0.008812,0.008812,0.008812
26,2321.21,1.61423,0.71795,1.02541,0.90371,0.85059,0.91448,0.45033,1.64555,0.69696,1.02719,0.0087625,0.0087625,0.0087625
27,2407.58,1.60718,0.71507,1.02504,0.9001,0.85621,0.91685,0.45235,1.64939,0.68326,1.02974,0.008713,0.008713,0.008713
28,2490.04,1.60837,0.71289,1.0269,0.89658,0.84762,0.90964,0.44259,1.65986,0.69332,1.03531,0.0086635,0.0086635,0.0086635
29,2572.19,1.60449,0.7097,1.02998,0.90486,0.85602,0.91621,0.44521,1.64855,0.68509,1.02847,0.008614,0.008614,0.008614
30,2654.66,1.60542,0.71069,1.02509,0.90242,0.85739,0.91842,0.45517,1.63571,0.6739,1.03248,0.0085645,0.0085645,0.0085645
31,2737.4,1.60455,0.70828,1.02584,0.90415,0.85675,0.91924,0.45852,1.61939,0.66866,1.0185,0.008515,0.008515,0.008515
32,2819.63,1.59394,0.70363,1.0295,0.90804,0.85956,0.92359,0.46147,1.63213,0.67288,1.02502,0.0084655,0.0084655,0.0084655
33,2909.12,1.59867,0.7033,1.02467,0.90667,0.85763,0.91851,0.45394,1.64656,0.68077,1.02853,0.008416,0.008416,0.008416
34,2991.41,1.58948,0.70001,1.02497,0.90746,0.86097,0.92185,0.46229,1.62497,0.66489,1.02218,0.0083665,0.0083665,0.0083665
35,3073.49,1.59781,0.69887,1.01948,0.90914,0.86343,0.92406,0.46367,1.62837,0.66336,1.02212,0.008317,0.008317,0.008317
36,3155.7,1.59844,0.69935,1.0226,0.904,0.85525,0.91637,0.45197,1.63599,0.67404,1.02047,0.0082675,0.0082675,0.0082675
37,3237.5,1.58884,0.69592,1.02248,0.91179,0.8649,0.92306,0.46046,1.61646,0.66907,1.01808,0.008218,0.008218,0.008218
38,3319.71,1.58923,0.69385,1.02216,0.91019,0.85822,0.92314,0.459,1.64763,0.66769,1.02879,0.0081685,0.0081685,0.0081685
39,3401.71,1.57979,0.68984,1.01686,0.90849,0.86839,0.92781,0.46422,1.62665,0.65512,1.02312,0.008119,0.008119,0.008119
40,3483.71,1.57735,0.68853,1.01855,0.90577,0.86811,0.9251,0.46315,1.62589,0.66439,1.02562,0.0080695,0.0080695,0.0080695
41,3565.72,1.5754,0.69002,1.01367,0.91093,0.86516,0.92499,0.46486,1.61344,0.66283,1.02002,0.00802,0.00802,0.00802
42,3647.79,1.56791,0.68297,1.01161,0.91647,0.86631,0.92882,0.45542,1.66017,0.66345,1.0313,0.0079705,0.0079705,0.0079705
43,3729.98,1.57276,0.68478,1.01413,0.90653,0.86867,0.92454,0.46029,1.61741,0.66492,1.01979,0.007921,0.007921,0.007921
44,3812.15,1.58629,0.68862,1.01486,0.90483,0.8671,0.92519,0.45602,1.65742,0.67017,1.02787,0.0078715,0.0078715,0.0078715
45,3894.12,1.57655,0.68595,1.0145,0.90782,0.87119,0.92829,0.46874,1.60693,0.6574,1.0159,0.007822,0.007822,0.007822
46,3976.38,1.5723,0.68281,1.01319,0.90945,0.87047,0.92639,0.4638,1.63562,0.66066,1.02546,0.0077725,0.0077725,0.0077725
47,4059.45,1.56726,0.67864,1.00954,0.90761,0.87424,0.92695,0.46272,1.63132,0.65765,1.02309,0.007723,0.007723,0.007723
48,4141.37,1.56091,0.67737,1.01687,0.91451,0.87623,0.92885,0.47211,1.59944,0.64677,1.01426,0.0076735,0.0076735,0.0076735
49,4224.44,1.57274,0.68015,1.01333,0.9154,0.87134,0.93007,0.47425,1.59209,0.64271,1.01174,0.007624,0.007624,0.007624
50,4309.32,1.56595,0.67808,1.01289,0.91069,0.86971,0.92748,0.46598,1.63199,0.65463,1.02055,0.0075745,0.0075745,0.0075745
51,4391.35,1.56463,0.67862,1.01129,0.91494,0.86823,0.92745,0.46881,1.61468,0.65006,1.01868,0.007525,0.007525,0.007525
52,4473.76,1.56548,0.67547,1.00887,0.91215,0.87283,0.93143,0.47153,1.60492,0.64716,1.01597,0.0074755,0.0074755,0.0074755
53,4555.76,1.55901,0.67271,1.01546,0.90953,0.87422,0.92851,0.46779,1.60806,0.65346,1.01737,0.007426,0.007426,0.007426
54,4637.78,1.54947,0.66923,1.01365,0.91481,0.87698,0.93318,0.47404,1.58733,0.64176,1.01159,0.0073765,0.0073765,0.0073765
55,4719.82,1.56404,0.67359,1.00796,0.91683,0.87113,0.9315,0.46804,1.62857,0.64495,1.01951,0.007327,0.007327,0.007327
56,4801.92,1.55275,0.6676,1.00733,0.91627,0.87349,0.93131,0.4737,1.6004,0.64342,1.01218,0.0072775,0.0072775,0.0072775
57,4884.01,1.55182,0.66783,1.00547,0.90749,0.87217,0.92756,0.46571,1.62051,0.65491,1.01725,0.007228,0.007228,0.007228
58,4971,1.55504,0.6675,1.0066,0.91439,0.87198,0.93088,0.46945,1.62066,0.63981,1.01821,0.0071785,0.0071785,0.0071785
59,5053.39,1.55982,0.67228,1.00239,0.91274,0.87396,0.93033,0.47084,1.6092,0.64662,1.01206,0.007129,0.007129,0.007129
60,5135.72,1.54582,0.66226,1.00304,0.90608,0.87802,0.93068,0.46747,1.62002,0.64373,1.01855,0.0070795,0.0070795,0.0070795
61,5217.84,1.5389,0.66007,1.00794,0.91218,0.87424,0.93066,0.46956,1.6122,0.64356,1.01532,0.00703,0.00703,0.00703
62,5299.93,1.55149,0.66422,1.00157,0.90972,0.88,0.93387,0.4779,1.59541,0.63672,1.0089,0.0069805,0.0069805,0.0069805
63,5382.22,1.54055,0.66115,1.00146,0.91319,0.87207,0.93132,0.46982,1.61938,0.644,1.01553,0.006931,0.006931,0.006931
64,5464.63,1.5386,0.65947,1.00371,0.91189,0.88137,0.9349,0.47784,1.58589,0.63417,1.01006,0.0068815,0.0068815,0.0068815
65,5546.8,1.54312,0.66037,1.00009,0.9138,0.87271,0.93382,0.47585,1.60873,0.63908,1.01336,0.006832,0.006832,0.006832
66,5629.15,1.54358,0.65906,1.00373,0.90517,0.88498,0.93357,0.4737,1.59553,0.63798,1.00729,0.0067825,0.0067825,0.0067825
67,5711.34,1.54127,0.65966,0.99955,0.91357,0.87547,0.93599,0.4775,1.60952,0.63715,1.01171,0.006733,0.006733,0.006733
68,5797.23,1.53416,0.6548,1.0018,0.9087,0.88284,0.93235,0.47385,1.59912,0.63913,1.01035,0.0066835,0.0066835,0.0066835
69,5881.41,1.53783,0.65606,1.00081,0.92173,0.8772,0.93588,0.47847,1.59997,0.63147,1.01255,0.006634,0.006634,0.006634
70,5963.52,1.54047,0.65877,0.99833,0.91605,0.87775,0.93417,0.47916,1.59328,0.63118,1.00607,0.0065845,0.0065845,0.0065845
71,6045.83,1.53029,0.65263,1.00024,0.9185,0.88,0.93629,0.47648,1.60183,0.63259,1.01276,0.006535,0.006535,0.006535
72,6128.03,1.53277,0.65364,0.99898,0.91545,0.87689,0.93672,0.47644,1.6131,0.63911,1.01432,0.0064855,0.0064855,0.0064855
73,6210.41,1.5375,0.65592,0.99829,0.91734,0.88116,0.93677,0.48212,1.57575,0.62956,1.00545,0.006436,0.006436,0.006436
74,6292.54,1.52673,0.65118,0.99655,0.91734,0.88265,0.93802,0.47955,1.60669,0.63133,1.01415,0.0063865,0.0063865,0.0063865
75,6374.93,1.52704,0.65008,0.99895,0.92012,0.88304,0.9386,0.47971,1.60968,0.62921,1.01485,0.006337,0.006337,0.006337
76,6457.19,1.52891,0.6497,0.99841,0.91472,0.88302,0.93634,0.47618,1.59972,0.63403,1.01141,0.0062875,0.0062875,0.0062875
77,6539.54,1.53004,0.65,0.99842,0.92004,0.87991,0.93672,0.47935,1.59556,0.62938,1.0086,0.006238,0.006238,0.006238
78,6719.04,1.52783,0.65161,0.99983,0.91625,0.88057,0.9364,0.47786,1.60049,0.63263,1.01301,0.0061885,0.0061885,0.0061885
79,6811.76,1.52651,0.64572,0.99577,0.92107,0.88066,0.93914,0.48804,1.56613,0.61715,1.00072,0.006139,0.006139,0.006139
80,6893.81,1.52215,0.64706,0.99608,0.91724,0.8852,0.94007,0.48167,1.5976,0.62481,1.00897,0.0060895,0.0060895,0.0060895
81,6975.59,1.5199,0.64657,0.99467,0.91629,0.88463,0.94002,0.48439,1.5821,0.62333,1.00551,0.00604,0.00604,0.00604
82,7057.78,1.53014,0.64872,0.99579,0.91979,0.88265,0.93883,0.48243,1.60056,0.62747,1.01072,0.0059905,0.0059905,0.0059905
83,7140.72,1.52389,0.64488,0.99733,0.91939,0.88133,0.93983,0.48387,1.59499,0.61969,1.01062,0.005941,0.005941,0.005941
84,7222.68,1.52451,0.64413,0.99718,0.92031,0.8817,0.939,0.48414,1.57936,0.62147,1.00285,0.0058915,0.0058915,0.0058915
85,7304.65,1.52115,0.64273,0.98827,0.91908,0.88312,0.93939,0.48195,1.59827,0.62456,1.00991,0.005842,0.005842,0.005842
86,7386.61,1.51787,0.64435,0.99558,0.91638,0.88302,0.93817,0.47931,1.59993,0.62616,1.01151,0.0057925,0.0057925,0.0057925
87,7468.69,1.52252,0.64351,0.99677,0.91817,0.88463,0.93667,0.48133,1.58192,0.61971,1.00528,0.005743,0.005743,0.005743
88,7550.58,1.5169,0.64282,0.99494,0.91812,0.88605,0.93642,0.47832,1.59464,0.62193,1.01049,0.0056935,0.0056935,0.0056935
89,7632.72,1.51962,0.64133,0.99255,0.91764,0.88254,0.93907,0.48045,1.60356,0.62457,1.01526,0.005644,0.005644,0.005644
90,7714.73,1.50722,0.63677,0.99234,0.91864,0.88579,0.9395,0.4863,1.57726,0.61665,1.00425,0.0055945,0.0055945,0.0055945
91,7797.01,1.51406,0.63934,0.98965,0.92009,0.88822,0.94111,0.48493,1.58541,0.62011,1.00491,0.005545,0.005545,0.005545
92,7879.03,1.50714,0.63622,0.99248,0.92181,0.88595,0.94026,0.48238,1.59542,0.61948,1.00964,0.0054955,0.0054955,0.0054955
93,7966.72,1.51962,0.64076,0.9899,0.91973,0.88487,0.93946,0.48441,1.58493,0.62022,1.00572,0.005446,0.005446,0.005446
94,8048.71,1.50664,0.63584,0.99085,0.92225,0.88841,0.94032,0.48552,1.57981,0.61523,1.00466,0.0053965,0.0053965,0.0053965
95,8130.71,1.50871,0.6347,0.98711,0.91887,0.88752,0.94059,0.48354,1.58715,0.61894,1.00681,0.005347,0.005347,0.005347
96,8212.68,1.50216,0.63101,0.99295,0.91754,0.88784,0.93972,0.4846,1.58586,0.61464,1.00613,0.0052975,0.0052975,0.0052975
97,8294.55,1.50625,0.6338,0.99063,0.92054,0.88812,0.94064,0.48574,1.58486,0.61301,1.00733,0.005248,0.005248,0.005248
98,8376.73,1.5064,0.63295,0.9894,0.92147,0.88614,0.94188,0.48745,1.57548,0.61404,1.0045,0.0051985,0.0051985,0.0051985
99,8460.98,1.5045,0.63298,0.98855,0.92209,0.88671,0.94203,0.49112,1.56815,0.61356,1.00217,0.005149,0.005149,0.005149
100,8543.32,1.50849,0.63641,0.98855,0.92412,0.88708,0.93973,0.48552,1.58468,0.61654,1.00666,0.0050995,0.0050995,0.0050995
101,8625.28,1.49625,0.62852,0.98633,0.92132,0.88444,0.93998,0.48398,1.58925,0.62016,1.00705,0.00505,0.00505,0.00505
102,8708.32,1.50206,0.62965,0.98437,0.9227,0.88803,0.93974,0.48548,1.57721,0.61247,1.00316,0.0050005,0.0050005,0.0050005
103,8790.37,1.50144,0.63059,0.9893,0.92139,0.88642,0.93953,0.48787,1.57771,0.61284,1.00333,0.004951,0.004951,0.004951
104,8872.24,1.49437,0.62921,0.99039,0.9172,0.88888,0.9388,0.48637,1.58147,0.61404,1.00459,0.0049015,0.0049015,0.0049015
105,8954.24,1.4989,0.62818,0.98608,0.91625,0.88841,0.93934,0.48675,1.5799,0.61577,1.00405,0.004852,0.004852,0.004852
106,9036.44,1.48117,0.62051,0.98511,0.92457,0.88718,0.94254,0.48674,1.58447,0.61432,1.00406,0.0048025,0.0048025,0.0048025
107,9118.69,1.49662,0.62649,0.98506,0.92125,0.8919,0.94272,0.48789,1.58429,0.61244,1.00286,0.004753,0.004753,0.004753
108,9200.59,1.48425,0.62271,0.98759,0.92273,0.88505,0.94124,0.48126,1.60497,0.61747,1.01199,0.0047035,0.0047035,0.0047035
109,9282.44,1.49315,0.62675,0.98516,0.92235,0.88708,0.9411,0.48891,1.57449,0.61112,1.0025,0.004654,0.004654,0.004654
110,9364.41,1.49526,0.62432,0.98827,0.9196,0.89181,0.94263,0.4892,1.58173,0.60818,1.00568,0.0046045,0.0046045,0.0046045
111,9446.41,1.49562,0.62764,0.98055,0.92285,0.88822,0.94229,0.4886,1.58505,0.6108,1.00659,0.004555,0.004555,0.004555
112,9528.36,1.49167,0.62414,0.97874,0.92312,0.88758,0.94205,0.48718,1.58708,0.61231,1.00524,0.0045055,0.0045055,0.0045055
113,9610.38,1.49244,0.62389,0.98082,0.92402,0.88614,0.94155,0.49099,1.57894,0.60838,1.00308,0.004456,0.004456,0.004456
114,9692.32,1.48481,0.62392,0.9809,0.92388,0.88576,0.94115,0.49124,1.5718,0.60832,1.00227,0.0044065,0.0044065,0.0044065
115,9774.47,1.49134,0.62434,0.98025,0.92692,0.88463,0.94224,0.48698,1.5945,0.6107,1.00834,0.004357,0.004357,0.004357
116,9856.63,1.4862,0.62163,0.9804,0.92379,0.88954,0.94192,0.49145,1.58014,0.60887,1.00442,0.0043075,0.0043075,0.0043075
117,9938.84,1.48009,0.61899,0.97894,0.92519,0.88737,0.94189,0.48912,1.58145,0.61009,1.0047,0.004258,0.004258,0.004258
